"id","from","to","date","distance","countryside","device","suburban","age"
"173","Som","Szombathely","2015-01-24T09:00:00","237","countryside","android","false","37"
"174","Gyál","Budapest","2015-01-24T07:00:00","8","budapest","ios","true","33"
"175","Gyál","Budapest","2015-01-24T05:00:00","15","budapest","ios","true","24"
"176","Vecsés","Budapest","2015-01-24T20:00:00","8","budapest","ios","true","21"
"177","Pilis","Budapest","2015-01-24T08:00:00","56","budapest","ios","false","35"
"178","Nagytarcsa","Budapest","2015-01-24T13:00:00","17","budapest","ios","true","20"
"179","Nagytarcsa","Budapest","2015-01-24T18:00:00","17","budapest","ios","true","32"
"180","Ecser","Budapest","2015-01-24T14:00:00","19","budapest","ios","true","37"
"181","Nagytarcsa","Budapest","2015-01-24T21:00:00","15","budapest","ios","true","20"
"182","Sárvár","Celldömölk","2015-01-24T13:00:00","22","countryside","ios","true","26"
"183","Siófok","Budapest","2015-01-24T11:00:00","111","budapest","android","false","27"
"184","Nyíregyháza","Mátészalka","2015-01-24T22:00:00","64","countryside","android","false","25"
"185","Szárliget","Tatabánya","2015-01-24T09:00:00","15","countryside","android","true","20"
"186","Székesfehérvár","Budapest","2015-01-24T08:00:00","70","budapest","ios","false","20"
"187","Székesfehérvár","Gárdony","2015-01-24T03:00:00","20","countryside","ios","true","26"
"188","Vecsés","Budapest","2015-01-24T18:00:00","17","budapest","ios","true","27"
"189","Szolnok","Budapest","2015-01-24T14:00:00","95","budapest","ios","false","28"
"190","Szombathely","Budapest","2015-01-24T09:00:00","227","budapest","android","false","37"
"191","Szombathely","Bük","2015-01-24T11:00:00","24","countryside","ios","true","38"
"192","Szombathely","Sárvár","2015-01-24T19:00:00","25","countryside","android","true","26"
"193","Tatabánya","Budapest","2015-01-24T17:00:00","67","budapest","ios","false","28"
"194","Tatabánya","Budapest","2015-01-24T14:00:00","61","budapest","ios","false","35"
"195","Újfehértó","Nyíregyháza","2015-01-24T18:00:00","22","countryside","ios","true","26"
"196","Vác","Budapest","2015-01-24T06:00:00","42","budapest","android","true","18"
"197","Vác","Budapest","2015-01-24T07:00:00","36","budapest","ios","true","27"
"198","Vác","Budapest","2015-01-24T22:00:00","36","budapest","ios","true","35"
"199","Vác","Budapest","2015-01-24T06:00:00","42","budapest","ios","true","30"
"200","Vác","Budapest","2015-01-24T17:00:00","35","budapest","android","true","21"
"201","Veszprém","Budapest","2015-01-24T04:00:00","122","budapest","ios","false","19"
"202","Zalaszentmihály","Zalaegerszeg","2015-01-24T12:00:00","24","countryside","ios","true","36"
"203","Budapest","Monor","2015-01-24T15:00:00","38","budapest","ios","true","20"
"204","Budapest","Ócsa","2015-01-24T19:00:00","34","budapest","android","true","26"
"205","Gárdony","Budapest","2015-01-24T18:00:00","47","budapest","android","true","19"
"206","Ajka","Budapest","2015-01-24T16:00:00","161","budapest","ios","false","24"
"207","Albertirsa","Vecsés","2015-01-24T03:00:00","42","countryside","ios","true","31"
"208","Göd","Budapest","2015-01-24T10:00:00","20","budapest","ios","true","36"
"209","Bag","Budapest","2015-01-24T21:00:00","39","budapest","ios","true","31"
